channel,media_units,distribution,ci_hi,ci_lo,mean,channel_type,scaled_count_histogram,count_histogram,start_interval_histogram,end_interval_histogram
Google Paid Search,10375.66796875,prior,0.9462934,0.6817369,0.81540024,media,,,,
Google Paid Search,10496.3134765625,posterior,0.8598676,0.66813004,0.7674966,media,,,,
Google Paid Search,10496.3134765625,prior,0.94687796,0.6842399,0.8170594,media,,,,
Google Paid Search,10616.9609375,posterior,0.861239,0.6706593,0.7694899,media,,,,
Google Paid Search,10616.9609375,prior,0.94744986,0.6867039,0.81868887,media,,,,
Google Paid Search,10737.6083984375,posterior,0.8625839,0.67315024,0.77144897,media,,,,
Google Paid Search,10737.6083984375,prior,0.94800967,0.6891298,0.82029057,media,,,,
Google Paid Search,10858.255859375,posterior,0.863903,0.67560387,0.77337575,media,,,,
Google Paid Search,10858.255859375,prior,0.9485576,0.6915184,0.82186264,media,,,,
Google Paid Search,10978.9033203125,posterior,0.8651969,0.67802083,0.7752706,media,,,,
Google Paid Search,10978.9033203125,prior,0.9490941,0.6938706,0.82340693,media,,,,
Google Paid Search,11099.55078125,posterior,0.86646646,0.68040216,0.7771332,media,,,,
Google Paid Search,11099.55078125,prior,0.9496196,0.6961871,0.82492536,media,,,,
Google Paid Search,11220.1982421875,posterior,0.8677124,0.6827484,0.77896446,media,,,,
Google Paid Search,11220.1982421875,prior,0.9501343,0.6984689,0.82641673,media,,,,
Google Paid Search,11340.845703125,posterior,0.8689353,0.6850605,0.780766,media,,,,
Google Paid Search,11340.845703125,prior,0.9506386,0.7007166,0.82788354,media,,,,
Google Paid Search,11461.4921875,posterior,0.8701357,0.6873391,0.78253895,media,,,,
Google Paid Search,11461.4921875,prior,0.9511328,0.70293105,0.8293253,media,,,,
Google Paid Search,11582.1396484375,posterior,0.87131435,0.689585,0.78428227,media,,,,
Google Paid Search,11582.1396484375,prior,0.95161724,0.70511305,0.83074325,media,,,,
Google Paid Search,11702.787109375,posterior,0.87247187,0.69179887,0.78599924,media,,,,
Google Paid Search,11702.787109375,prior,0.95209205,0.7072631,0.83213687,media,,,,
Google Paid Search,11823.4345703125,posterior,0.8736087,0.69398135,0.7876872,media,,,,
Google Paid Search,11823.4345703125,prior,0.95255774,0.7093822,0.83350873,media,,,,
Google Paid Search,11944.08203125,posterior,0.8747254,0.69613326,0.78934926,media,,,,
Google Paid Search,11944.08203125,prior,0.95301443,0.7114707,0.8348578,media,,,,
Google Paid Search,12064.7294921875,posterior,0.87582266,0.69825494,0.7909863,media,,,,
Google Paid Search,12064.7294921875,prior,0.9534625,0.7135295,0.83618444,media,,,,
Google Paid Search,12185.376953125,posterior,0.8769008,0.7003473,0.79259753,media,,,,
Google Paid Search,12185.376953125,prior,0.953902,0.71555907,0.8374903,media,,,,
Google Paid Search,12306.0234375,posterior,0.8779603,0.7024109,0.79418343,media,,,,
Google Paid Search,12306.0234375,prior,0.9543333,0.71756005,0.83877486,media,,,,
Google Paid Search,12426.6708984375,posterior,0.87900186,0.7044461,0.79574573,media,,,,
Google Paid Search,12426.6708984375,prior,0.9547566,0.71953315,0.8400398,media,,,,
Google Paid Search,12547.318359375,posterior,0.8800257,0.7064538,0.7972846,media,,,,
Google Paid Search,12547.318359375,prior,0.9551721,0.72147876,0.8412841,media,,,,
Google Paid Search,12667.9658203125,posterior,0.88103235,0.7084343,0.798799,media,,,,
Google Paid Search,12667.9658203125,prior,0.95558006,0.7233977,0.8425106,media,,,,
Google Paid Search,12788.61328125,posterior,0.88202226,0.71038836,0.80029196,media,,,,
Google Paid Search,12788.61328125,prior,0.95598066,0.72529024,0.8437162,media,,,,
Google Paid Search,12909.2607421875,posterior,0.88299584,0.7123163,0.8017627,media,,,,
Google Paid Search,12909.2607421875,prior,0.95637417,0.7271572,0.8449051,media,,,,
Google Paid Search,13029.908203125,posterior,0.8839535,0.7142188,0.8032124,media,,,,
Google Paid Search,13029.908203125,prior,0.95676064,0.72899884,0.8460743,media,,,,
Google Paid Search,13150.5556640625,posterior,0.8848956,0.71609634,0.8046395,media,,,,
Google Paid Search,13150.5556640625,prior,0.95714027,0.7308158,0.8472274,media,,,,
Google Paid Search,13271.2021484375,posterior,0.8858226,0.7179493,0.8060454,media,,,,
Google Paid Search,13271.2021484375,prior,0.9575134,0.7326086,0.8483618,media,,,,
Google Paid Search,13391.849609375,posterior,0.88673466,0.71977824,0.80743396,media,,,,
Google Paid Search,13391.849609375,prior,0.95788,0.7343776,0.84948087,media,,,,
Google Paid Search,13512.49609375,posterior,0.8876323,0.7215836,0.80880135,media,,,,
Google Paid Search,13512.49609375,prior,0.9582404,0.7361235,0.8505825,media,,,,
Google Paid Search,13633.1435546875,posterior,0.8885159,0.72336596,0.81014884,media,,,,
Google Paid Search,13633.1435546875,prior,0.9585946,0.7378465,0.85166764,media,,,,
Google Paid Search,13753.791015625,posterior,0.8893856,0.7251255,0.8114774,media,,,,
Google Paid Search,13753.791015625,prior,0.95894295,0.7395472,0.85273844,media,,,,
Google Paid Search,13874.4384765625,posterior,0.8902419,0.72686285,0.81278807,media,,,,
Google Paid Search,13874.4384765625,prior,0.9592854,0.74122584,0.85379225,media,,,,
Google Paid Search,13995.0859375,posterior,0.891085,0.7285784,0.8140805,media,,,,
Google Paid Search,13995.0859375,prior,0.95962226,0.74288315,0.85483176,media,,,,
Google Paid Search,14115.732421875,posterior,0.8919153,0.7302725,0.81535506,media,,,,
Google Paid Search,14115.732421875,prior,0.95995355,0.7445193,0.8558565,media,,,,
Google Paid Search,14236.3798828125,posterior,0.89273304,0.73194563,0.8166125,media,,,,
Google Paid Search,14236.3798828125,prior,0.9602794,0.7461347,0.8568674,media,,,,
Google Paid Search,14357.02734375,posterior,0.8935385,0.73359805,0.8178514,media,,,,
Google Paid Search,14357.02734375,prior,0.9606001,0.7477299,0.8578632,media,,,,
